B0,communicative_fraction_mean,communicative_fraction_std
0.011111111111111127,0.0014626122,0.0009393661043410826
0.05111111111111113,0.014252262699999999,0.0036424767706274945
0.09111111111111113,0.134327579825,0.014056403678997761
0.13111111111111112,0.5853663272,0.013216276741177624
0.17111111111111113,0.9053957002,0.009764942021303158
0.21111111111111114,0.9778197537500001,0.004259511275741048
0.2511111111111111,0.9943609335,0.0016732606622908638
0.29111111111111115,0.998523003775,0.0010394489978327974
0.33111111111111113,0.9995871032,0.00025121032007612053
0.3711111111111111,0.999865645725,7.108854145724796e-5
0.41111111111111115,0.9999006195750001,2.2219318954240815e-6
